event_id,detector_type,severity,reputation_score,hit_count,perimeter_vendor,is_whitelisted,label
evt_0000_8915,alert_gambling_slot,high,48,846,paloalto,0,0
evt_0001_5716,alert_webshell_heur,medium,79,72,akamai,0,0
evt_0002_3438,alert_distributed_error,medium,16,1641,none,0,0
evt_0003_1534,alert_gambling_slot,low,8,1,imperva,1,0
evt_0004_9233,alert_distributed_error,low,6,2,paloalto,1,0
evt_0005_5019,alert_url_probe,low,74,18,paloalto,0,0
evt_0006_4468,alert_distributed_error,medium,22,159,none,0,0
evt_0007_1463,alert_gambling_slot,high,81,812,imperva,0,1
evt_0008_6663,alert_gambling_slot,high,77,313,none,0,1
evt_0009_9094,alert_webshell_immediate,high,95,59,paloalto,0,1
evt_0010_5266,alert_webshell_name,high,55,66,none,0,0
evt_0011_1070,alert_webshell_immediate,high,99,106,none,0,1
evt_0012_1353,alert_webshell_name,low,0,8,paloalto,1,0
evt_0013_7485,alert_webshell_immediate,high,95,15,paloalto,0,1
evt_0014_7329,alert_webshell_heur,high,85,17,imperva,0,1
evt_0015_6976,alert_gambling_slot,high,63,368,none,0,1
evt_0016_2498,alert_url_probe,low,7,1,paloalto,1,0
evt_0017_5949,alert_webshell_immediate,high,84,121,imperva,0,1
evt_0018_9431,alert_webshell_heur,high,58,57,paloalto,0,1
evt_0019_4912,alert_gambling_slot,high,46,475,paloalto,0,1
evt_0020_7789,alert_gambling_slot,low,2,3,paloalto,1,0
evt_0021_2637,alert_gambling_slot,high,44,827,imperva,0,1
evt_0022_7797,alert_webshell_name,high,72,10,none,0,1
evt_0023_4638,alert_webshell_name,high,57,57,paloalto,0,1
evt_0024_9683,alert_webshell_heur,medium,73,45,none,0,1
evt_0025_6045,alert_webshell_heur,high,50,58,imperva,0,0
evt_0026_2966,alert_distributed_error,medium,37,3684,none,0,0
evt_0027_4733,alert_webshell_name,high,76,44,none,0,1
evt_0028_5466,alert_distributed_error,medium,36,519,none,0,0
evt_0029_8424,alert_webshell_heur,medium,82,73,none,0,1
evt_0030_3869,alert_distributed_error,medium,36,1524,none,0,0
evt_0031_6865,alert_url_probe,medium,24,6,none,0,0
evt_0032_3229,alert_distributed_error,medium,13,2298,paloalto,0,0
evt_0033_9537,alert_webshell_immediate,high,90,42,akamai,0,1
evt_0034_5856,alert_distributed_error,medium,27,2929,paloalto,0,1
evt_0035_3307,alert_webshell_heur,high,77,46,none,0,1
evt_0036_5493,alert_gambling_slot,high,69,742,imperva,0,1
evt_0037_7123,alert_gambling_slot,high,79,284,akamai,0,1
evt_0038_7108,alert_webshell_heur,high,64,22,akamai,0,1
